
Frame#: 39346         X: 59.49%    Y: 58.06%    Timestamp#: 40380443.44
Frame#: 39347         X: 57.25%    Y: 57.50%    Timestamp#: 40380463.81
Frame#: 39348         X: 55.16%    Y: 56.80%    Timestamp#: 40380483.68
Frame#: 39349         X: 52.38%    Y: 55.27%    Timestamp#: 40380503.93
Frame#: 39350         X: 49.60%    Y: 54.17%    Timestamp#: 40380524.18
Frame#: 39351         X: 48.27%    Y: 54.14%    Timestamp#: 40380544.43
Frame#: 39352         X: 47.19%    Y: 54.01%    Timestamp#: 40380564.68
Frame#: 39353         X: 46.48%    Y: 53.89%    Timestamp#: 40380584.93
Frame#: 39354         X: 46.07%    Y: 53.76%    Timestamp#: 40380605.18
Frame#: 39355         X: 45.80%    Y: 53.78%    Timestamp#: 40380625.43
Frame#: 39356         X: 45.54%    Y: 53.73%    Timestamp#: 40380645.68
Frame#: 39357         X: 45.31%    Y: 53.63%    Timestamp#: 40380665.93
Frame#: 39358         X: 45.14%    Y: 53.54%    Timestamp#: 40380686.18
Frame#: 39359         X: 45.04%    Y: 53.47%    Timestamp#: 40380706.43
Frame#: 39360         X: 44.97%    Y: 53.40%    Timestamp#: 40380726.68
Frame#: 39361         X: 44.89%    Y: 53.32%    Timestamp#: 40380746.93
Frame#: 39362         X: 44.79%    Y: 53.14%    Timestamp#: 40380767.18
Frame#: 39363         X: 44.56%    Y: 52.66%    Timestamp#: 40380787.43
Frame#: 39364         X: 44.18%    Y: 51.83%    Timestamp#: 40380807.68
Frame#: 39365         X: 43.05%    Y: 50.44%    Timestamp#: 40380827.93
Frame#: 39366         X: 42.19%    Y: 49.48%    Timestamp#: 40380848.18
Frame#: 39367         X: 41.69%    Y: 49.01%    Timestamp#: 40380868.43
Frame#: 39368         X: 41.22%    Y: 48.61%    Timestamp#: 40380888.68
Frame#: 39369         X: 41.00%    Y: 48.42%    Timestamp#: 40380908.93
Frame#: 39370         X: 40.84%    Y: 48.37%    Timestamp#: 40380929.18
Frame#: 39371         X: 40.60%    Y: 47.99%    Timestamp#: 40380949.43
Frame#: 39372         X: 40.51%    Y: 47.92%    Timestamp#: 40380969.68
Frame#: 39373         X: 40.40%    Y: 47.57%    Timestamp#: 40380989.93
