
xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
"Frame": 3509      ,"X": 80.89%,"Y": 77.58%,"Timestamp": 117.63
"Frame": 3510      ,"X": 80.97%,"Y": 79.18%,"Timestamp": 228.70
"Frame": 3511      ,"X": 80.95%,"Y": 79.73%,"Timestamp": 247.96
"Frame": 3512      ,"X": 81.02%,"Y": 81.66%,"Timestamp": 268.48
"Frame": 3513      ,"X": 81.00%,"Y": 81.94%,"Timestamp": 280.31
"Frame": 3514      ,"X": 81.00%,"Y": 82.19%,"Timestamp": 299.33
"Frame": 3515      ,"X": 80.99%,"Y": 82.23%,"Timestamp": 319.63
"Frame": 3516      ,"X": 81.00%,"Y": 82.81%,"Timestamp": 339.87
"Frame": 3517      ,"X": 80.74%,"Y": 84.22%,"Timestamp": 360.13
"Frame": 3518      ,"X": 80.87%,"Y": 85.29%,"Timestamp": 380.38
"Frame": 3519      ,"X": 80.87%,"Y": 85.37%,"Timestamp": 400.62
"Frame": 3520      ,"X": 80.94%,"Y": 86.21%,"Timestamp": 420.88
"Frame": 3521      ,"X": 80.88%,"Y": 86.92%,"Timestamp": 441.13
"Frame": 3522      ,"X": 81.17%,"Y": 87.58%,"Timestamp": 461.37
"Frame": 3523      ,"X": 81.07%,"Y": 88.17%,"Timestamp": 481.63
"Frame": 3524      ,"X": 81.19%,"Y": 88.35%,"Timestamp": 501.89
"Frame": 3524      ,"X": 81.19%,"Y": 88.35%,"Timestamp": 501.89
"Frame": 3525      ,"X": 81.24%,"Y": 88.52%,"Timestamp": 522.13
"Frame": 3526      ,"X": 81.27%,"Y": 88.56%,"Timestamp": 542.38
"Frame": 3526      ,"X": 81.27%,"Y": 88.56%,"Timestamp": 542.38
"Frame": 3527      ,"X": 81.38%,"Y": 88.61%,"Timestamp": 562.62
"Frame": 3528      ,"X": 81.45%,"Y": 88.70%,"Timestamp": 584.49
"Frame": 3529      ,"X": 81.45%,"Y": 88.79%,"Timestamp": 603.12
"Frame": 3530      ,"X": 81.46%,"Y": 88.85%,"Timestamp": 625.46
"Frame": 3531      ,"X": 81.44%,"Y": 88.94%,"Timestamp": 643.62
"Frame": 3532      ,"X": 81.42%,"Y": 89.03%,"Timestamp": 664.54
"Frame": 3533      ,"X": 81.41%,"Y": 89.10%,"Timestamp": 684.12
"Frame": 3534      ,"X": 81.40%,"Y": 89.17%,"Timestamp": 704.38
"Frame": 3534      ,"X": 81.40%,"Y": 89.17%,"Timestamp": 704.38
"Frame": 3535      ,"X": 81.42%,"Y": 89.25%,"Timestamp": 724.63
"Frame": 3536      ,"X": 81.43%,"Y": 89.28%,"Timestamp": 745.38
"Frame": 3537      ,"X": 81.45%,"Y": 89.28%,"Timestamp": 765.13
"Frame": 3538      ,"X": 81.46%,"Y": 89.29%,"Timestamp": 785.36
"Frame": 3539      ,"X": 81.48%,"Y": 89.37%,"Timestamp": 805.62
"Frame": 3539      ,"X": 81.48%,"Y": 89.37%,"Timestamp": 805.62
"Frame": 3540      ,"X": 81.44%,"Y": 89.54%,"Timestamp": 825.88
"Frame": 3541      ,"X": 81.38%,"Y": 89.55%,"Timestamp": 846.12
"Frame": 3542      ,"X": 81.18%,"Y": 89.33%,"Timestamp": 866.38
